,assignment_number,comments,skill,participant_id,batch,grade
11,416.0,"The application works. Base Tasks completed. 2 Challenge tasks attempted (plants, weather). ",Correctness,27,1,A-
12,340.0,"The application works. Base Tasks completed. 2 Challenge tasks attempted (plants, weather). Weather only partially implemented as rain. Potentially a 3rd attempted as hunger levels.",Correctness,27,1,A-
13,394.0,"The application works. Base Tasks completed. 4 Challenge tasks attempted (plants, disease, weather, types of animals). ",Correctness,27,1,A+
14,529.0,"The application works. Base Tasks completed. 3 Challenge tasks attempted (plants, weather, disease). ",Correctness,27,1,A-
15,345.0,"The application works. Base Tasks completed. 3 Challenge tasks attempted (plants, disease, weather). ",Correctness,27,1,A
16,121.0,"The application works. Base Tasks completed. 3 Challenge tasks attempted (plants, disease, weather). ",Correctness,27,1,A
17,13.0,no attempt made,Correctness,27,1,F
18,281.0,"The application works. Base Tasks completed. 2 Challenge tasks attempted (weather, disease). ",Correctness,27,1,A-
19,284.0,"The application works. Base Tasks completed. 3 Challenge tasks attempted (plants, disease, weather). ",Correctness,27,1,A-
0,289.0,Code can be re-used. Code is maintainable.,Code Elegance,27,1,A
1,555.0,Excellent use of classes and functions. Efficient code.,Code Elegance,27,1,A+
2,33.0,"Code could be re-used, but more could be done to make it re-usable. Code is maintainable.",Code Elegance,27,1,B+
3,176.0,"Code could be re-used, but more could be done to make it re-usable. Code is maintainable.",Code Elegance,27,1,A-
4,619.0,Excellent use of classes and functions. Efficient code.,Code Elegance,27,1,A+
5,305.0,Excellent use of classes and functions. Efficient code. Good use of abstraction.,Code Elegance,27,1,A-
6,85.0,"Code could be re-used, but more could be done to make it re-usable. Code is maintainable.",Code Elegance,27,1,B
7,6.0,"Code could be re-used, but more could be done to make it re-usable. Code is maintainable.",Code Elegance,27,1,A-
8,428.0,Excellent use of classes and functions. Efficient code.,Code Elegance,27,1,A+
9,43.0,"Code is semi-re-usable/maintainable. However, plants implementation as an animal causes problems.",Code Elegance,27,1,B+
10,267.0,Excellent use of classes and functions. Efficient code.,Code Elegance,27,1,A+
11,416.0,Code can be re-used. Code is maintainable.,Code Elegance,27,1,A
12,340.0,"Code could be re-used, but more could be done to make it re-usable. Code is maintainable.",Code Elegance,27,1,B
13,394.0,Excellent use of classes and functions to make re-usable and maintainable code.,Code Elegance,27,1,A+
14,529.0,"Code could be re-used, but more could be done to make it re-usable. Code is maintainable.",Code Elegance,27,1,A-
15,345.0,"Great use of classes and functions to make re-usable and maintainable code, but could be further improved.",Code Elegance,27,1,A+
16,121.0,"Code could be re-used, but more could be done to make it re-usable. Code is maintainable.",Code Elegance,27,1,A-
17,13.0,no attempt made,Code Elegance,27,1,F
18,281.0,"Code could be re-used, but more could be done to make it re-usable. Code is maintainable.",Code Elegance,27,1,B
19,284.0,"Code could be re-used, but more could be done to make it re-usable. Code is maintainable.",Code Elegance,27,1,A-
0,289.0,"Good use of comments at the beginning of each file, and in each function. Some comments could be added.",Documentation,27,1,A+
1,555.0,Comments present at beginning of file. More and more detailed comments could be included.,Documentation,27,1,A-
2,33.0,Some comments state the obvious. Good comments at the beginning of files. Some could be added.,Documentation,27,1,B
3,176.0,Some comments state the obvious. Good comments at the beginning of files.,Documentation,27,1,B+
4,619.0,"Good use of comments at the beginning of each file, and in each function. Some comments could be added.",Documentation,27,1,A+
5,305.0,"Good use of comments at the beginning of each file, and in each function. Some comments could be added.",Documentation,27,1,A-
6,85.0,Lack of comments explaining large code blocks.,Documentation,27,1,B
7,6.0,Lack of comments explaining large code blocks.,Documentation,27,1,B+
8,428.0,Appropriate commenting at beginning and through each file.,Documentation,27,1,A-
9,43.0,Appropriate commenting at beginning and through each file. Although some extra moments should be added.,Documentation,27,1,A
10,267.0,Appropriate commenting at beginning and through each file. Although some extra comments should be added.,Documentation,27,1,A-
11,416.0,Appropriate commenting at beginning and through each file.,Documentation,27,1,A+
12,340.0,Appropriate commenting at beginning and through each file.,Documentation,27,1,A
13,394.0,,Documentation,27,1,
14,529.0,Comments present at beginning of file. More and more detailed comments could be included throughout.,Documentation,27,1,A
15,345.0,Appropriate commenting at beginning and through each file.,Documentation,27,1,A
16,121.0,Well thought comments at beginning of file and explaining non-obvious operations.,Documentation,27,1,A+
17,13.0,no attempt made,Documentation,27,1,F
18,281.0,"Good use of comments at the beginning of each file, and in each function.",Documentation,27,1,A-
19,284.0,Some comments could be added. Some state the obvious.,Documentation,27,1,B
0,161.0,Generally good. Occasional excess white-space,Readability,22,2,A
1,634.0,Minor issues with extra whitespace.,Readability,22,2,A+
2,609.0,Inconsistent indentation,Readability,22,2,B+
3,314.0,,Readability,22,2,A++
4,199.0,"Excess white space. Class variables could be grouped for clarity, e.g. static vars. ",Readability,22,2,B
5,313.0,,Readability,22,2,A++
6,449.0,,Readability,22,2,A++
7,521.0,Occasional unnecessary whitespace,Readability,22,2,A
8,105.0,Generally good. Occasional excess white-space,Readability,22,2,A
9,96.0,Minor issues with extra whitespace.,Readability,22,2,A+
10,645.0,Minor issues with extra whitespace.,Readability,22,2,A+
11,432.0,,Readability,22,2,A++
12,528.0,,Readability,22,2,A++
13,685.0,,Readability,22,2,A++
14,505.0,,Readability,22,2,A++
15,435.0,Minor issues with extra whitespace.,Readability,22,2,A+
16,665.0,,Readability,22,2,A++
17,445.0,Minor issues with extra whitespace.,Readability,22,2,A+
18,142.0,,Readability,22,2,A+
19,193.0,"Excess whitespace, occasional indentation issues.",Readability,22,2,A
0,161.0,All base and challenge tasks completed. No self-defined extension implemented. ,Correctness,22,2,A+
1,634.0,All core and extension tasks completed. Candidate implements owns extension - predators competing for food.,Correctness,22,2,A++
2,609.0,Does not compile.,Correctness,22,2,F
3,314.0,All core and extension tasks completed. Candidate implements owns extension - predator combat.,Correctness,22,2,A++
4,199.0,Did not replace foxes and rabbits,Correctness,22,2,F
5,313.0,All core and extension tasks completed. Candidate implements owns extension - plant height.,Correctness,22,2,A++
6,449.0,All core tasks completed. Extension tasks completed except for disease implenetation.,Correctness,22,2,A
7,521.0,All core tasks completed. Only plants implemented from extension tasks.,Correctness,22,2,A-
8,105.0,Core tasks completed except for having 5 acting species (plants do not count).,Correctness,22,2,C+
9,96.0,Time of day not implemented.,Correctness,22,2,C+
10,645.0,All core and extension tasks completed. Candidate implements owns extension - carcasses.,Correctness,22,2,A++
11,432.0,All base and challenge tasks completed. No self-defined extension implemented. ,Correctness,22,2,A+
12,528.0,Time of day does not have an effect on any acting species behaviour,Correctness,22,2,C+
13,685.0,All core tasks completed. Extension tasks completed except for disease implenetation.,Correctness,22,2,A
14,505.0,All core tasks completed. Extension tasks completed except for disease implenetation.,Correctness,22,2,A
15,435.0,All core tasks completed. Only plants implemented from extension tasks.,Correctness,22,2,A-
16,665.0,All core and extension tasks completed. Candidate implements owns extensions - disease types and terrain.,Correctness,22,2,A++
17,445.0,Core tasks completed except for predators sharing same food.,Correctness,22,2,C+
18,142.0,All base and challenge tasks completed. No self-defined extension implemented. ,Correctness,22,2,A+
19,193.0,,Correctness,22,2,A++
0,161.0,"Abstraction could go further, e.g. some methods within the animal classes (e.g. wolf) could be within the class animal",Code Elegance,22,2,A
1,634.0,Class structure is basic and poorly utilised. Much of the code could be written for the animal class instead of being duplicated for each animal.,Code Elegance,22,2,C+
2,609.0,Classes structure lacks abstraction.,Code Elegance,22,2,B-
3,314.0,,Code Elegance,22,2,A+
4,199.0,Abstraction present in class structure however this is poorly utilised.,Code Elegance,22,2,B+
5,313.0,"Could utilise additional classes, e.g. predator/prey to provide additional elegance.",Code Elegance,22,2,A
6,449.0,Could make use of additional classes for more abstraction - e.g. predator/prey.,Code Elegance,22,2,A
7,521.0,"Some abstraction present but there remains much more that could be achieved, e.g. more common methods in the animal class.",Code Elegance,22,2,A-
8,105.0,Basic abstraction class structure however this is well utilised with lots of methods residing in the animal class.,Code Elegance,22,2,A
9,96.0,Abstraction present in class structure however this is poorly utilised.,Code Elegance,22,2,B+
10,645.0,,Code Elegance,22,2,A++
11,432.0,Basic abstraction class structure however this is well utilised with lots of methods residing in the animal class.,Code Elegance,22,2,A
12,528.0,Advanced class structure implemented. There are one or two methods which could be-rewritten for generality in higher classes.,Code Elegance,22,2,A+
13,685.0,"Abstraction could go further, e.g. some methods within the animal classes could be within the class animal",Code Elegance,22,2,A-
14,505.0,Advanced class structure implemented. There are one or two methods which could be-rewritten for generality in higher classes.,Code Elegance,22,2,A+
15,435.0,"Abstraction could go further, e.g. some methods within the animal classes could be within the class animal",Code Elegance,22,2,A-
16,665.0,Basic abstraction class structure however this is excellently utilised with lots of methods residing in the animal class.,Code Elegance,22,2,A+
17,445.0,"Some abstraction present but there remains much more that could be achieved, e.g. more common methods in the animal class.",Code Elegance,22,2,B+
18,142.0,Advanced abstraction structure in classes however this could still be better utilised with more methods moved up to animal or organism.,Code Elegance,22,2,A
19,193.0,"Excellent structure, however there is scope to further utilise this by moving common features to more asbtract classes.",Code Elegance,22,2,A+
0,161.0,Generally good. Incorrect variable specification for the function act in all animal classes.,Documentation,22,2,A
1,634.0,Near perfect. Minor omission of variable foodValue from some functions.,Documentation,22,2,A+
2,609.0,"Many function parameters, definitions and return values are missing descriptions.",Documentation,22,2,B-
3,314.0,,Documentation,22,2,A++
4,199.0,Missing some function and return value descriptions,Documentation,22,2,B+
5,313.0,,Documentation,22,2,A++
6,449.0,,Documentation,22,2,A++
7,521.0,,Documentation,22,2,A++
8,105.0,Missing some function and parameter descriptions. Occasionally specifies parameters which are not required.,Documentation,22,2,B-
9,96.0,Almost perfect. Some confusion between animal and organism in function descriptions.,Documentation,22,2,A+
10,645.0,Occasional issue with missing arguments in function descriptions.,Documentation,22,2,A+
11,432.0,,Documentation,22,2,A++
12,528.0,Method descriptions are occasionally missing arguments.,Documentation,22,2,A+
13,685.0,"Confusion between animal class names in description of functions. Also incorrect description of grass behaviour, i.e. is documented as eating antelopes.",Documentation,22,2,A
14,505.0,Method descriptions are occasionally missing arguments or referred to by different names.,Documentation,22,2,A+
15,435.0,,Documentation,22,2,A++
16,665.0,,Documentation,22,2,A++
17,445.0,Many classes have only a few in-line comments.,Documentation,22,2,D
18,142.0,Method descriptions occasionally have missing arguments or too many. ,Documentation,22,2,A+
19,193.0,Consistent errors in describing function arguments.,Documentation,22,2,B-
0,464.0,"Appropriate function, class and variable names used. Indentation and general code structure is clear. Good use of self-contained classes.",Readability,17,2,A-
1,568.0,"Great function, class and variable names used. Indentation and general code structure is clear. Great use of self-contained classes.",Readability,17,2,A+
2,216.0,"Appropriate function, class and variable names used. Indentation and general code structure is clear. Good use of self-contained classes.",Readability,17,2,A-
3,35.0,"Appropriate function, class and variable names used. Indentation and general code structure is clear. Good use of self-contained classes.",Readability,17,2,A-
4,463.0,"Appropriate function, class and variable names used. Indentation and general code structure is clear. Good use of self-contained classes.",Readability,17,2,A-
5,546.0,Some disorganisation with the classes and files included.,Readability,17,2,C+
6,536.0,"Appropriate function, class and variable names used. Indentation and general code structure is clear. Good use of self-contained classes.",Readability,17,2,A-
7,535.0,"Appropriate function, class and variable names used. Indentation and general code structure is clear. Good use of self-contained classes.",Readability,17,2,A-
8,388.0,"Great function, class and variable names used. Indentation and general code structure is clear. Great use of self-contained classes.",Readability,17,2,A+
9,81.0,"Appropriate function, class and variable names used. Indentation and general code structure is clear. Good use of self-contained classes.",Readability,17,2,A-
10,373.0,"Great function, class and variable names used. Indentation and general code structure is clear. Great use of self-contained classes.",Readability,17,2,A+
11,652.0,"Appropriate function, class and variable names used. Indentation and general code structure is clear. Good use of self-contained classes.",Readability,17,2,A-
12,103.0,"Appropriate function, class and variable names used. Indentation and general code structure is clear. Good use of self-contained classes.",Readability,17,2,B+
13,364.0,"Appropriate function, class and variable names used. Indentation and general code structure is clear. Good use of self-contained classes.",Readability,17,2,A-
14,430.0,Some disorganisation with the classes and files included.,Readability,17,2,B-
15,253.0,"Appropriate function, class and variable names used. Indentation and general code structure is clear. Good use of self-contained classes. Some over-complicated methods.",Readability,17,2,B
16,684.0,"Great function, class and variable names used. Indentation and general code structure is clear. Great use of self-contained classes.",Readability,17,2,A+
17,616.0,Submission only contains original template,Readability,17,2,F
18,456.0,"Great function, class and variable names used. Indentation and general code structure is clear. Great use of self-contained classes.",Readability,17,2,A+
19,483.0,"Appropriate function, class and variable names used. Indentation and general code structure is clear. Good use of self-contained classes.",Readability,17,2,A-
0,464.0,"Fox and Rabbit classes are used in the simulation which is not permitted, however most challenge tasks and all base tasks are implemented correctly.",Correctness,17,2,C-
1,568.0,"Creative idea with the hunter class, nice weather implementation and diverse choice of animal classes.",Correctness,17,2,A+
2,216.0,"Creative idea with the fantasy domain, all base tasks completed to a high standard. A couple of extra challenge tasks completed. ",Correctness,17,2,A-
3,35.0,All challenge and base classes are implemented correctly.,Correctness,17,2,A
4,463.0,All base tasks completed to a high standard. No challenge tasks completed. ,Correctness,17,2,B
5,546.0,"Fox and Rabbit classes are used in the simulation which is not permitted, male and female implementation is incorrect. Plant challenge task is correctly implemented and so are the other base classes.",Correctness,17,2,C-
6,536.0,"All challenge and base classes are implemented, however plant and panther class die out quickly during simulation.",Correctness,17,2,A-
7,535.0,All base and challenge tasks completed to a high standard. ,Correctness,17,2,A+
8,388.0,Plant challenge task is correctly implemented and so are the other base classes.,Correctness,17,2,A-
9,81.0,"All challenge and base classes are implemented, however all classes apart from algae die out quickly during simulation. Parameters of growth, death, etc. should be adjusted to see more interesting results.",Correctness,17,2,A-
10,373.0,All base and challenge tasks completed to a high standard. ,Correctness,17,2,A++
11,652.0,Base tasks and the weather challenge task is implemented. Inefficient and incorrect implementation of the animal classes causes the simulation to execute very slowly and the time implementation is also implemented wrongly.,Correctness,17,2,C+
12,103.0,"Whilst the base tasks were correctly implemented, the challenge tasks were incorrectly configured and instead of operating in the same simulation, the plant and natural disaster classes launch in separate simulations and do not interact with the animals.",Correctness,17,2,B+
13,364.0,All base tasks completed to a high standard. No challenge tasks completed. ,Correctness,17,2,B+
14,430.0,"Fox and Rabbit classes are used in the simulation which is not permitted, male and female implementation is incorrect. Plant and weather challenge tasks implemented although plant task  does not function as intended (never gets eaten). Other base classes correctly implemented.",Correctness,17,2,C
15,253.0,"All challenge and base classes are implemented, however all classes apart from fruit and fern die out quickly during simulation. Parameters of growth, death, etc. should be adjusted to see more interesting results.",Correctness,17,2,A-
16,684.0,All base and some challenge tasks completed to a high standard. Disease class has probability so low that it will never come into effect during simulation.,Correctness,17,2,A
17,616.0,Submission only contains original template,Correctness,17,2,F
18,456.0,All base and challenge tasks completed to a high standard. ,Correctness,17,2,A+
19,483.0,Base and challenge tasks are implemented. Inefficient implementation of the environment interactions causes the simulation to execute very slowly.,Correctness,17,2,B+
0,464.0,Appropriate approaches taken for the implementation of the tasks.,Code Elegance,17,2,B
1,568.0,Solid implementation of both core and challenge classes. Very appropriate approaches taken.,Code Elegance,17,2,A+
2,216.0,Appropriate approaches taken for the implementation of the tasks.,Code Elegance,17,2,B+
3,35.0,Solid implementation of both core and challenge classes. Very appropriate approaches taken.,Code Elegance,17,2,A
4,463.0,Appropriate approaches taken for the implementation of the tasks.,Code Elegance,17,2,B+
5,546.0,"No need to separate animal into two genders in two different files, this should be handled within the animal class itself. Otherwise the implementation is reasonable.",Code Elegance,17,2,C+
6,536.0,Appropriate approaches taken for the implementation of the tasks.,Code Elegance,17,2,A-
7,535.0,Appropriate approaches taken for the implementation of the tasks.,Code Elegance,17,2,A-
8,388.0,Solid implementation of both core and challenge classes. Very appropriate approaches taken.,Code Elegance,17,2,A+
9,81.0,Appropriate approaches taken for the implementation of the tasks.,Code Elegance,17,2,B+
10,373.0,Solid implementation of both core and challenge classes. Very appropriate approaches taken.,Code Elegance,17,2,A+
11,652.0,Appropriate approaches taken for the implementation of the tasks.,Code Elegance,17,2,A-
12,103.0,Appropriate approaches taken for the implementation of the tasks.,Code Elegance,17,2,B+
13,364.0,Appropriate approaches taken for the implementation of the tasks.,Code Elegance,17,2,A
14,430.0,No need to separate sex into it's own class this should be handled within the animal class itself. Otherwise the implementation is reasonable.,Code Elegance,17,2,B-
15,253.0,Appropriate approaches taken for the implementation of the tasks however some methods like the canBreed() function  could benefit from further simplification.,Code Elegance,17,2,B
16,684.0,Solid implementation of both core and challenge classes. Very appropriate approaches taken.,Code Elegance,17,2,A+
17,616.0,Submission only contains original template,Code Elegance,17,2,F
18,456.0,Solid implementation of both core and challenge classes. Very appropriate approaches taken.,Code Elegance,17,2,A+
19,483.0,Appropriate approaches taken for the implementation of the tasks however inefficient implementation of the environment interactions causes the simulation to execute very slowly.,Code Elegance,17,2,B-
0,464.0,"Solid use of comments and javadocs, however sometimes displays some overcommenting on lines which have obvious functionality. ",Documentation,17,2,A-
1,568.0,Solid use of comments and javadocs.,Documentation,17,2,A+
2,216.0,"Solid use of comments and javadocs, however sometimes displays some overcommenting on lines which have obvious functionality. ",Documentation,17,2,A-
3,35.0,"Solid use of comments and javadocs, however sometimes displays some overcommenting on lines which have obvious functionality. ",Documentation,17,2,A-
4,463.0,"Solid use of comments and javadocs, however sometimes displays some overcommenting on lines which have obvious functionality. ",Documentation,17,2,A-
5,546.0,"Reasonable use of comments and javadocs, however sometimes displays some overcommenting on lines which have obvious functionality. Further, some comments have clearly been copied from other classes and been left unchanged.",Documentation,17,2,C
6,536.0,"Solid use of comments and javadocs, however sometimes displays some overcommenting on lines which have obvious functionality. ",Documentation,17,2,A-
7,535.0,"Reasonable use of comments and javadocs, however sometimes displays some overcommenting on lines which have obvious functionality. Further, some comments have clearly been copied from other classes and been left unchanged.",Documentation,17,2,B-
8,388.0,"Solid use of comments and javadocs, however sometimes displays some overcommenting on lines which have obvious functionality. ",Documentation,17,2,A-
9,81.0,Solid use of comments and javadocs.,Documentation,17,2,A
10,373.0,Solid use of comments and javadocs.,Documentation,17,2,A
11,652.0,"Solid use of comments and javadocs, however sometimes displays some overcommenting on lines which have obvious functionality. ",Documentation,17,2,A-
12,103.0,"Reasonable use of comments and javadocs, however sometimes displays some overcommenting on lines which have obvious functionality. Further, some comments have clearly been copied from other classes and been left unchanged.",Documentation,17,2,B
13,364.0,Solid use of comments and javadocs.,Documentation,17,2,A+
14,430.0,Solid use of comments and javadocs.,Documentation,17,2,A+
15,253.0,Solid use of comments and javadocs.,Documentation,17,2,A+
16,684.0,Solid use of comments and javadocs.,Documentation,17,2,A+
17,616.0,Submission only contains original template,Documentation,17,2,F
18,456.0,"Solid use of comments and javadocs, however sometimes displays some overcommenting on lines which have obvious functionality. ",Documentation,17,2,A-
19,483.0,Solid use of comments and javadocs.,Documentation,17,2,A+
0,302.0,"Code not very easy to read, names of variables not explicit. ",Readability,04,2,B-
1,303.0,"Easy to follow, good choice of names for the variables",Readability,04,2,A-
2,277.0,"Very easy to read, clear and concise code",Readability,04,2,A-
3,542.0,"Easy to read, good job",Readability,04,2,A-
4,188.0,"Easy to read, good choise of variable names",Readability,04,2,A
5,261.0,Very easy and compact code,Readability,04,2,A
6,391.0,Code very easy to read,Readability,04,2,A
7,680.0,Easy to follow and understand,Readability,04,2,A+
8,672.0,Easy to read ,Readability,04,2,A
9,251.0,,Readability,04,2,F
10,575.0,"Very easy to follow, variable names clear, well strucutred",Readability,04,2,A+
11,223.0,"Clear, variables well named",Readability,04,2,A-
12,143.0,Code well strucutred and easy to read,Readability,04,2,A-
13,453.0,Code very well strucutred and easy to understand,Readability,04,2,A
14,484.0,Code easy to read and to understand,Readability,04,2,A-
15,218.0,Well structure and easy to read,Readability,04,2,A-
16,481.0,,Readability,04,2,F
17,219.0,Easy to read,Readability,04,2,B+
18,327.0,Very easy to understand and to read,Readability,04,2,A+
19,290.0,Easy to read,Readability,04,2,B+
0,302.0,"Great implementation, good design ideas, Lot of challenges successfully implemented. Great work!",Correctness,04,2,A+
1,303.0,"Good implementation, challenges successfully implemented. good design ideas",Correctness,04,2,A-
2,277.0,"Great implementation, lots of challenges successfully implemented. good design ideas",Correctness,04,2,A+
3,542.0,"Good implementation, challenges successfully implemented. good design ideas, but the run button was removed",Correctness,04,2,B+
4,188.0,"Good implementation, challenges successfully implemented. ",Correctness,04,2,A-
5,261.0,Very interesting implementation and good balance of the simulator. ,Correctness,04,2,A
6,391.0,Interesting implementation but not intuitive to use,Correctness,04,2,B+
7,680.0,"Very good implementation of both base and challenge tasks, but the simulation stops fairly quickly",Correctness,04,2,A-
8,672.0,"Good implementation and good design, but some buttons lead to crash",Correctness,04,2,B-
9,251.0,No code added,Correctness,04,2,F
10,575.0,"Interesting simulation, very stable. Base and challenge tasks successfully implemented.",Correctness,04,2,A+
11,223.0,"Base and challenge tasks well implemented, but the simulation could be more stable. ",Correctness,04,2,B+
12,143.0,"Lot of challenges implemented, but the simulation dies very quickly",Correctness,04,2,B-
13,453.0,"Base and challenge tasks very well implemented, simulation stable, the output summary is a good addition",Correctness,04,2,A+
14,484.0,"Challenge tasks and base tasks implemented, but the simulation dies almost immediately",Correctness,04,2,C
15,218.0,"Base and challenge tasks well implemented, the simulation is quite stable but could run longer",Correctness,04,2,B+
16,481.0,Does not compile,Correctness,04,2,F
17,219.0,"Several taks seam to be implemented, but none of them run when the simulator is launched...",Correctness,04,2,D-
18,327.0,"Base and challenge tasks well implemented, but the simulation could run a bit longer.",Correctness,04,2,A-
19,290.0,"Good implementation, simulation stable but it quickly reaches a fixed balance",Correctness,04,2,B+
0,302.0,Concepts of the course very well utilised to serve a clean and clever implementation. Weel done,Code Elegance,04,2,A+
1,303.0,Comcpets of the course well utilised. Good structure,Code Elegance,04,2,A-
2,277.0,"Great structure, concepts learned well utilised",Code Elegance,04,2,A+
3,542.0,Concepts of the course well used,Code Elegance,04,2,A
4,188.0,Concepts of the class well utilised,Code Elegance,04,2,A
5,261.0,Concepts f the course used wisely,Code Elegance,04,2,A+
6,391.0,Concepts learnt in class well utilised,Code Elegance,04,2,A
7,680.0,Very well structured code,Code Elegance,04,2,A
8,672.0,Concepts of the course well utilised,Code Elegance,04,2,A
9,251.0,,Code Elegance,04,2,F
10,575.0,Efficient and clever use of the concepts taught in class to create an original answer to the problem. Well done.,Code Elegance,04,2,A+
11,223.0,Good use of the notions learnt during the module,Code Elegance,04,2,A-
12,143.0,Good implementation of the notions learnt in class,Code Elegance,04,2,B+
13,453.0,Very well done ! All the concepts learnt during the module are wisely used to serve your project,Code Elegance,04,2,A+
14,484.0,Concepts of the module well utilised,Code Elegance,04,2,B+
15,218.0,Very good application of the notions of the module,Code Elegance,04,2,A
16,481.0,,Code Elegance,04,2,F
17,219.0,"Attempt to use difficult concepts, but the implementation does not run as required...",Code Elegance,04,2,D-
18,327.0,Great use of the concepts taught during the module to serve your project,Code Elegance,04,2,A
19,290.0,Concepts of the module well utilised,Code Elegance,04,2,A
0,302.0,"Lack documentation, always aim for too much rather than too little",Documentation,04,2,C
1,303.0,"Functions variables well documented, but lacks general documentation",Documentation,04,2,B
2,277.0,Great documentation,Documentation,04,2,A+
3,542.0,Great documentation,Documentation,04,2,A-
4,188.0,Good documentation,Documentation,04,2,A-
5,261.0,Clear and detailed documentation,Documentation,04,2,A
6,391.0,Very good documentation,Documentation,04,2,A
7,680.0,Very good documentation,Documentation,04,2,A+
8,672.0,Good documentation,Documentation,04,2,A-
9,251.0,,Documentation,04,2,F
10,575.0,Very well documented,Documentation,04,2,A+
11,223.0,"Good documentation, but a bit short in parts of the code",Documentation,04,2,B+
12,143.0,Very well documented,Documentation,04,2,A-
13,453.0,Very well documented,Documentation,04,2,A
14,484.0,Well documented,Documentation,04,2,B+
15,218.0,Good documentation,Documentation,04,2,B+
16,481.0,,Documentation,04,2,F
17,219.0,"Good documentation, but hard to understand the structure of your code",Documentation,04,2,C
18,327.0,Clear and complete documentation,Documentation,04,2,A
19,290.0,Very clear and detailed documentation,Documentation,04,2,A+
0,582.0,,Readability,14,2,A+
1,148.0,,Readability,14,2,A+
2,201.0,,Readability,14,2,A
3,229.0,,Readability,14,2,A+
4,544.0,,Readability,14,2,A++
5,273.0,,Readability,14,2,A+
6,306.0,,Readability,14,2,A+
7,92.0,,Readability,14,2,A+
8,487.0,,Readability,14,2,B+
9,417.0,,Readability,14,2,A+
10,241.0,,Readability,14,2,A++
11,355.0,,Readability,14,2,A+
12,254.0,,Readability,14,2,A+
13,67.0,,Readability,14,2,A+
14,135.0,,Readability,14,2,A+
15,63.0,,Readability,14,2,A++
16,133.0,,Readability,14,2,A+
17,11.0,,Readability,14,2,A+
18,576.0,,Readability,14,2,A++
19,683.0,,Readability,14,2,A+
0,582.0,,Correctness,14,2,B+
1,148.0,,Correctness,14,2,A+
2,201.0,,Correctness,14,2,A
3,229.0,,Correctness,14,2,A+
4,544.0,,Correctness,14,2,A++
5,273.0,,Correctness,14,2,A++
6,306.0,,Correctness,14,2,A+
7,92.0,,Correctness,14,2,A+
8,487.0,Simulator not executing the code,Correctness,14,2,D-
9,417.0,,Correctness,14,2,A++
10,241.0,,Correctness,14,2,A++
11,355.0,,Correctness,14,2,A+
12,254.0,,Correctness,14,2,A
13,67.0,,Correctness,14,2,A++
14,135.0,,Correctness,14,2,A++
15,63.0,,Correctness,14,2,A+
16,133.0,,Correctness,14,2,A+
17,11.0,,Correctness,14,2,B+
18,576.0,,Correctness,14,2,A++
19,683.0,,Correctness,14,2,A++
0,582.0,,Code Elegance,14,2,A
1,148.0,,Code Elegance,14,2,A
2,201.0,,Code Elegance,14,2,A+
3,229.0,,Code Elegance,14,2,A+
4,544.0,,Code Elegance,14,2,A++
5,273.0,,Code Elegance,14,2,A+
6,306.0,,Code Elegance,14,2,A+
7,92.0,,Code Elegance,14,2,A+
8,487.0,,Code Elegance,14,2,B+
9,417.0,,Code Elegance,14,2,A+
10,241.0,,Code Elegance,14,2,A++
11,355.0,,Code Elegance,14,2,A+
12,254.0,,Code Elegance,14,2,A+
13,67.0,,Code Elegance,14,2,A+
14,135.0,,Code Elegance,14,2,A+
15,63.0,,Code Elegance,14,2,A+
16,133.0,,Code Elegance,14,2,A+
17,11.0,,Code Elegance,14,2,A+
18,576.0,,Code Elegance,14,2,A++
19,683.0,,Code Elegance,14,2,A++
0,582.0,,Documentation,14,2,A+
1,148.0,,Documentation,14,2,B+
2,201.0,,Documentation,14,2,A
3,229.0,,Documentation,14,2,A
4,544.0,,Documentation,14,2,A++
5,273.0,,Documentation,14,2,A+
6,306.0,,Documentation,14,2,A+
7,92.0,,Documentation,14,2,A+
8,487.0,,Documentation,14,2,B+
9,417.0,,Documentation,14,2,A+
10,241.0,,Documentation,14,2,A++
11,355.0,,Documentation,14,2,A+
12,254.0,,Documentation,14,2,A+
13,67.0,,Documentation,14,2,A+
14,135.0,,Documentation,14,2,A+
15,63.0,,Documentation,14,2,A+
16,133.0,,Documentation,14,2,A+
17,11.0,,Documentation,14,2,A+
18,576.0,,Documentation,14,2,A++
19,683.0,,Documentation,14,2,A++
0,160.0,,Readability,21,1,A+
1,473.0,,Readability,21,1,A+
2,624.0,,Readability,21,1,A+
3,311.0,,Readability,21,1,A+
4,105.0,,Readability,21,1,A+
5,654.0,,Readability,21,1,A++
6,79.0,,Readability,21,1,A+
7,45.0,,Readability,21,1,A+
8,51.0,,Readability,21,1,F
9,523.0,,Readability,21,1,A++
10,410.0,,Readability,21,1,A
11,490.0,,Readability,21,1,A++
12,124.0,,Readability,21,1,A++
13,77.0,,Readability,21,1,A+
14,252.0,,Readability,21,1,A++
15,236.0,,Readability,21,1,A+
16,549.0,,Readability,21,1,A+
17,10.0,,Readability,21,1,A
18,292.0,,Readability,21,1,A++
19,451.0,,Readability,21,1,A++
0,160.0,,Correctness,21,1,A+
1,473.0,,Correctness,21,1,A++
2,624.0,,Correctness,21,1,A+
3,311.0,,Correctness,21,1,A+
4,105.0,,Correctness,21,1,F
5,654.0,,Correctness,21,1,
6,79.0,,Correctness,21,1,A+
